Age,Marital_Status,Education_Level,Dependents_Count,Livestock_Presence,Personal_Vehicle_Presence,Owns_House,Owns_Farm,Farm_Size_Acres,Irrigation_Presence,Farming_Technique,Farming_Tool,Yield_2Years_Ago_Tons,Investment_2Years_Ago,Profit_2Years_Ago,Yield_1Year_Ago_Tons,Investment_1Year_Ago,Profit_1Year_Ago,Market_Trend,Crop_Name,Credit_Score,Credit_Score_Category
64,True,Secondary School,4,False,True,False,True,9.36,False,Hydroponic,Combine,17.91,2866,1702,27.69,4364,1673,Growing,Rice,332,Poor
30,False,Secondary School,0,True,True,True,False,8.37,False,Organic,Plow,40.37,3022,631,36.36,4337,2146,Declining,Soybean,557,Poor
22,False,Secondary School,6,True,True,True,True,17.38,False,Conventional,Combine,62.36,7015,1803,57.9,8024,3410,Stable,Wheat,699,Average
49,False,Master,2,True,True,True,True,14.38,True,Organic,Tractor,57.86,9403,4360,74.05,6963,4510,Stable,Corn,829,Best
56,False,Bachelor,0,True,True,True,True,23.47,True,Organic,Tractor,89.61,5956,3125,73.03,9008,4952,Declining,Wheat,886,Best
33,True,Primary School,8,False,False,False,True,14.61,False,Hydroponic,Tractor,45.58,5590,2544,77.37,6291,3642,Growing,Soybean,708,Average
32,False,Secondary School,4,True,False,True,True,9.92,False,Organic,Hoe,10.41,3369,1258,45.19,5337,2853,Stable,Corn,346,Poor
60,True,High School,1,False,False,False,True,5.52,True,Conventional,Hoe,10.06,4447,575,50.11,3635,2689,Stable,Rice,302,Poor
50,False,High School,3,True,True,True,True,25.65,True,Organic,Hoe,67.97,5448,2337,98.03,8838,5211,Declining,Wheat,892,Best
42,False,Secondary School,9,True,False,True,False,7.32,True,Hydroponic,Tractor,44.35,4663,1592,33.68,4256,1672,Growing,Soybean,589,Poor
55,True,Primary School,2,True,True,False,False,2.88,False,Hydroponic,Hoe,26.7,4497,878,38.92,4713,1297,Declining,Corn,449,Poor
51,True,Primary School,0,False,False,True,False,6.67,False,Conventional,Combine,28.29,3027,1565,59.21,5604,1139,Growing,Wheat,366,Poor
27,False,Primary School,8,True,True,False,False,2.04,False,Conventional,Hoe,35.21,3384,764,27.59,5490,2506,Growing,Wheat,380,Poor
56,False,Primary School,8,True,True,False,True,2.26,False,Conventional,Combine,29.28,1228,1317,56.93,5492,2736,Stable,Rice,303,Poor
57,False,Primary School,8,True,False,True,False,7.02,True,Organic,Plow,25.37,2690,1757,56.35,4903,1095,Growing,Wheat,473,Poor
53,False,Secondary School,4,False,True,False,True,1.46,True,Organic,Combine,20.05,4067,1919,49.17,2622,1489,Declining,Wheat,405,Poor
23,False,Primary School,3,False,False,True,True,7.79,False,Organic,Tractor,76.38,6648,3449,51.3,6382,4995,Stable,Soybean,769,Average
24,True,Secondary School,3,True,True,True,False,1.08,False,Organic,Tractor,45.88,4118,678,58.13,4570,1862,Growing,Rice,508,Poor
54,False,Primary School,1,True,False,False,False,4.74,True,Conventional,Hoe,32.85,3899,1308,36.94,2462,1426,Declining,Rice,605,Poor
60,True,Primary School,6,True,True,True,False,8.79,True,Organic,Hoe,19.52,4927,1847,49.1,3933,1865,Stable,Rice,618,Poor
51,True,High School,5,False,False,False,False,7.71,False,Organic,Hoe,40.97,3311,1897,22.5,5163,1087,Stable,Wheat,577,Poor
29,True,Secondary School,9,False,False,False,False,17.79,False,Conventional,Tractor,78.36,5091,2630,75.53,5109,4644,Declining,Corn,734,Average
62,False,Primary School,10,True,True,False,True,1.09,True,Hydroponic,Hoe,46.69,1237,1447,29.85,2085,2579,Growing,Corn,376,Poor
43,False,Master,2,False,True,True,True,39.55,True,Conventional,Tractor,86.18,9002,2551,79.34,10291,5694,Growing,Corn,852,Best
64,False,Secondary School,10,False,True,False,False,10.1,True,Conventional,Combine,36.74,4429,2342,72.35,4900,4390,Growing,Soybean,689,Average
62,False,Phd,5,False,False,False,True,9.6,True,Conventional,Combine,46.76,3519,1353,48.2,3471,2278,Stable,Wheat,414,Poor
56,False,High School,2,False,True,False,True,8.37,False,Conventional,Hoe,42.24,3871,751,30.96,2605,1801,Growing,Corn,598,Poor
58,False,High School,8,False,False,True,True,6.7,True,Hydroponic,Combine,43.17,4671,1156,32.39,4508,1565,Growing,Rice,642,Poor
62,True,Primary School,5,True,False,False,True,3.63,True,Conventional,Plow,18.84,2517,857,43.42,3768,2445,Stable,Wheat,446,Poor
23,False,Primary School,0,True,False,False,True,8.61,False,Hydroponic,Hoe,20.91,2354,694,37.31,2240,1350,Declining,Soybean,561,Poor
48,False,Secondary School,2,False,True,True,True,8.99,False,Organic,Hoe,47.4,4294,1228,46.73,3432,1412,Growing,Wheat,597,Poor
26,True,Primary School,9,True,False,True,True,8.84,True,Organic,Hoe,29.69,3518,540,45.16,2604,2526,Declining,Corn,600,Poor
42,True,Secondary School,9,False,False,True,True,10.59,True,Organic,Combine,65.76,6196,3023,74.61,6008,1652,Growing,Rice,690,Average
61,False,High School,1,True,True,True,True,5.85,False,Hydroponic,Hoe,38.42,2604,1388,42.56,5905,2853,Declining,Rice,358,Poor
40,True,High School,3,True,True,True,True,36.72,True,Hydroponic,Plow,52.08,8090,3869,87.03,10420,4200,Declining,Corn,825,Best
61,True,High School,10,True,True,False,True,5.97,False,Conventional,Plow,39.66,2101,1178,56.49,2456,1880,Declining,Wheat,307,Poor
62,False,College,8,True,False,False,True,7.16,True,Organic,Combine,33.24,4182,964,36.89,5954,2071,Stable,Corn,451,Poor
37,True,High School,3,False,False,False,False,4.22,True,Conventional,Combine,46.05,1468,611,45.33,4319,1771,Growing,Rice,473,Poor
52,False,Primary School,8,True,False,True,False,13.9,True,Hydroponic,Tractor,48.48,5798,3254,88.39,6213,3018,Declining,Rice,792,Average
42,False,Primary School,8,True,False,True,True,7.52,True,Conventional,Combine,38.89,4322,3870,46.89,4784,1550,Growing,Rice,791,Average
64,True,Primary School,7,False,True,True,False,9.0,False,Conventional,Plow,45.22,2932,1569,40.28,4758,3000,Stable,Soybean,599,Poor
30,False,Secondary School,2,True,True,True,False,3.78,False,Organic,Tractor,16.21,2646,1132,47.01,2012,1748,Declining,Soybean,526,Poor
42,False,High School,3,False,False,True,True,4.14,True,Organic,Hoe,47.33,1864,774,41.99,5879,2630,Declining,Wheat,401,Poor
57,True,Primary School,10,True,False,True,False,17.65,False,Hydroponic,Tractor,38.02,7556,1727,69.1,7824,1820,Growing,Soybean,798,Average
59,True,College,9,True,False,False,False,1.66,True,Hydroponic,Combine,16.52,3786,1544,34.72,4501,2407,Growing,Wheat,436,Poor
55,True,Primary School,7,False,True,True,True,2.08,True,Organic,Tractor,15.95,1056,1679,59.77,3391,1815,Declining,Corn,412,Poor
37,False,Primary School,9,False,False,True,True,6.1,True,Organic,Combine,64.22,4867,2293,67.66,4173,3893,Growing,Soybean,713,Average
44,False,High School,2,False,False,True,True,6.4,False,Hydroponic,Plow,10.37,2074,1553,36.32,3708,1776,Stable,Soybean,342,Poor
19,False,Primary School,9,True,True,True,True,4.66,False,Hydroponic,Plow,18.68,1127,1432,25.69,2164,1325,Growing,Soybean,645,Poor
44,False,Primary School,9,True,True,False,False,6.64,True,Conventional,Tractor,52.51,6524,2790,60.61,6318,4131,Declining,Wheat,751,Average
37,True,Primary School,5,True,False,False,True,4.92,True,Conventional,Plow,39.73,2033,1293,40.27,3462,2118,Growing,Wheat,573,Poor
21,True,Primary School,1,True,False,True,False,4.17,True,Conventional,Combine,10.04,3809,1430,50.6,4395,2265,Stable,Wheat,590,Poor
39,True,Primary School,3,False,True,True,True,13.88,False,Organic,Plow,41.83,7839,3528,53.94,4278,4563,Growing,Soybean,755,Average
39,True,Secondary School,0,False,True,False,False,5.11,True,Conventional,Tractor,46.25,4043,859,53.14,3608,2776,Stable,Wheat,624,Poor
61,True,Primary School,8,False,True,True,True,3.41,False,Conventional,Tractor,11.04,1024,1877,32.4,3246,2030,Growing,Rice,475,Poor
59,False,Primary School,3,False,True,False,True,9.07,False,Organic,Hoe,12.73,3758,1535,30.65,2396,2163,Declining,Wheat,563,Poor
61,True,Primary School,8,False,True,False,True,7.37,False,Organic,Hoe,42.33,4855,1803,72.4,7873,4044,Declining,Soybean,717,Average
41,False,Primary School,0,False,False,False,False,9.02,False,Hydroponic,Hoe,39.76,6985,1011,45.16,7504,3882,Stable,Wheat,795,Average
56,False,College,10,True,True,True,False,9.39,True,Hydroponic,Hoe,60.49,3540,2096,76.18,6039,1898,Stable,Soybean,726,Average
28,True,High School,8,True,True,False,True,9.26,False,Conventional,Plow,17.75,1052,657,39.7,2752,1403,Declining,Soybean,423,Poor
65,True,Primary School,9,False,True,False,False,8.76,True,Organic,Plow,38.56,1709,624,51.12,4704,1472,Declining,Corn,370,Poor
57,True,Primary School,4,False,False,False,False,5.05,False,Organic,Combine,43.72,2376,1159,59.35,2605,1575,Declining,Soybean,610,Poor
51,False,High School,1,True,True,True,True,8.61,True,Hydroponic,Tractor,21.09,2511,925,33.61,3713,1278,Growing,Wheat,334,Poor
41,True,Secondary School,10,True,False,False,True,13.67,True,Conventional,Plow,58.58,3265,3677,58.01,8492,3419,Growing,Soybean,707,Average
20,True,Bachelor,0,False,True,True,True,29.52,True,Organic,Plow,58.26,9783,4878,64.64,9228,5657,Declining,Corn,806,Best
46,True,Master,1,True,True,True,True,23.54,True,Hydroponic,Tractor,99.77,5589,2873,68.85,6102,3454,Growing,Corn,852,Best
51,False,Primary School,2,True,False,True,True,8.65,False,Conventional,Plow,49.73,1723,1489,22.3,2881,1737,Stable,Soybean,322,Poor
31,False,Primary School,7,False,True,False,True,9.95,True,Organic,Hoe,21.83,2205,1957,52.68,2473,1969,Growing,Rice,389,Poor
31,False,Secondary School,4,True,True,True,False,9.41,True,Organic,Plow,23.78,3218,1078,53.19,5537,2955,Declining,Rice,347,Poor
35,True,Primary School,10,True,False,True,False,2.25,True,Hydroponic,Combine,49.26,3430,1495,47.85,3668,1992,Stable,Wheat,569,Poor
31,True,Master,3,True,False,True,True,32.19,True,Hydroponic,Tractor,70.57,9691,4717,62.64,9045,5967,Growing,Corn,824,Best
27,False,Primary School,6,False,False,False,False,7.77,False,Hydroponic,Tractor,44.22,2276,1696,21.54,2976,1236,Declining,Soybean,337,Poor
50,True,High School,5,True,True,True,True,17.19,False,Hydroponic,Tractor,47.3,6799,2801,81.23,8569,4203,Stable,Wheat,799,Average
39,True,High School,5,False,False,False,True,6.71,True,Conventional,Hoe,32.3,4790,3956,82.53,5422,3581,Declining,Wheat,767,Average
35,False,Master,0,True,True,True,True,29.51,True,Organic,Tractor,56.64,7033,3661,63.19,10417,5382,Declining,Rice,860,Best
42,True,Secondary School,2,False,True,True,False,3.51,True,Organic,Plow,25.28,2589,1325,53.33,5795,1173,Growing,Soybean,363,Poor
49,False,High School,10,False,False,False,True,5.77,True,Conventional,Combine,47.88,3755,636,56.47,2549,2720,Declining,Corn,475,Poor
53,False,High School,7,False,False,False,True,7.66,False,Hydroponic,Tractor,25.38,2781,1257,46.56,4504,2661,Declining,Wheat,381,Poor
40,False,College,10,False,True,False,False,9.2,True,Conventional,Hoe,34.95,7574,2563,54.83,6260,4721,Declining,Wheat,682,Average
58,True,High School,9,False,True,True,False,5.64,True,Conventional,Combine,37.26,3350,1989,53.65,2753,1236,Growing,Corn,626,Poor
44,False,Primary School,2,False,True,True,True,7.78,False,Hydroponic,Tractor,17.89,2900,1048,41.07,5957,1668,Declining,Soybean,528,Poor
20,False,Primary School,7,True,False,False,False,8.78,True,Conventional,Hoe,13.06,1251,1758,33.24,4759,1449,Declining,Rice,559,Poor
23,False,High School,9,True,True,False,False,1.77,False,Hydroponic,Tractor,27.56,2539,1594,52.37,2612,2009,Declining,Corn,462,Poor
50,True,Secondary School,10,True,False,True,False,13.16,True,Organic,Plow,51.9,4449,3862,67.56,4574,4539,Growing,Wheat,772,Average
27,True,High School,10,False,True,False,True,1.83,False,Hydroponic,Plow,45.09,4387,1948,35.28,5502,2459,Stable,Rice,305,Poor
56,True,Primary School,6,False,True,True,False,19.56,True,Conventional,Tractor,67.25,4706,1985,72.47,4510,4888,Growing,Wheat,746,Average
45,True,Primary School,1,False,True,True,True,5.21,False,Organic,Plow,18.79,4000,1981,45.16,4299,1258,Growing,Soybean,552,Poor
34,True,Bachelor,2,True,True,True,True,48.83,True,Hydroponic,Plow,97.19,5182,2905,71.71,8227,3644,Stable,Corn,867,Best
35,True,High School,2,True,True,True,True,27.03,True,Hydroponic,Hoe,99.48,9499,2957,76.33,9590,3421,Growing,Wheat,890,Best
64,True,Bachelor,2,True,True,True,True,25.07,True,Conventional,Hoe,89.41,8897,2841,69.53,7759,2803,Growing,Soybean,839,Best
54,True,Secondary School,4,True,True,True,True,11.91,True,Organic,Combine,35.43,4749,2201,67.73,6594,4766,Stable,Rice,755,Average
23,False,College,8,True,False,False,False,13.92,True,Hydroponic,Plow,55.99,4885,2085,79.59,8879,2779,Growing,Corn,726,Average
42,False,Primary School,0,True,False,True,False,6.76,False,Organic,Tractor,39.93,2274,629,55.33,2018,2014,Growing,Corn,646,Poor
54,False,Primary School,10,True,False,False,False,2.88,False,Organic,Tractor,28.25,3943,973,27.95,4974,2905,Stable,Soybean,585,Poor
63,True,Secondary School,3,True,True,True,False,4.57,True,Conventional,Tractor,47.1,2404,550,53.52,4753,2852,Declining,Rice,327,Poor
51,False,Primary School,7,False,True,False,True,7.11,True,Conventional,Combine,24.4,2657,916,34.78,2185,1541,Declining,Soybean,607,Poor
26,True,Primary School,3,True,True,True,True,7.2,False,Conventional,Combine,45.3,3460,505,31.19,2452,1152,Growing,Wheat,508,Poor
24,True,Secondary School,9,True,False,False,False,1.67,False,Conventional,Plow,46.49,2396,1846,57.38,2300,2375,Growing,Soybean,599,Poor
42,True,Primary School,10,True,True,True,True,6.29,False,Hydroponic,Tractor,45.67,7253,1429,48.8,8102,2335,Stable,Corn,790,Average
53,True,Primary School,1,True,False,True,False,2.04,True,Organic,Hoe,20.95,3081,1562,31.17,2349,2700,Stable,Wheat,647,Poor
49,False,Primary School,4,False,True,True,True,19.96,False,Organic,Hoe,66.19,4737,1565,40.47,6125,4856,Declining,Rice,746,Average
35,True,Primary School,10,True,True,False,True,2.68,False,Organic,Combine,44.02,1567,1886,46.49,5237,1884,Growing,Rice,514,Poor
51,True,High School,1,True,True,True,True,16.15,True,Organic,Tractor,98.73,9122,2124,76.26,6571,4012,Growing,Corn,887,Best
62,True,Secondary School,0,True,False,True,False,4.64,True,Conventional,Hoe,46.65,2887,1418,50.87,4317,1540,Growing,Corn,360,Poor
39,True,Primary School,4,False,False,True,False,8.72,False,Hydroponic,Hoe,48.48,3574,1041,58.67,4504,2252,Growing,Rice,428,Poor
46,True,Primary School,10,False,True,True,True,2.04,True,Organic,Plow,47.8,3008,1373,31.21,3998,1571,Growing,Rice,602,Poor
41,True,Primary School,6,False,False,False,False,7.14,False,Conventional,Hoe,30.58,4977,597,59.88,3954,1862,Growing,Wheat,414,Poor
36,True,Master,0,True,True,True,True,49.63,True,Organic,Tractor,79.77,8417,3612,101.48,10357,3112,Declining,Corn,811,Best
49,True,Bachelor,1,True,False,True,True,13.76,True,Conventional,Tractor,96.88,8628,2943,91.28,10643,5164,Growing,Rice,806,Best
34,False,Secondary School,3,False,True,True,True,3.0,True,Hydroponic,Tractor,43.17,4100,1648,41.24,3113,2677,Declining,Corn,380,Poor
18,False,Primary School,5,True,False,True,False,7.96,False,Hydroponic,Tractor,34.5,4960,2958,89.69,6501,4804,Stable,Wheat,780,Average
59,True,Master,1,False,False,True,True,42.22,True,Conventional,Tractor,89.04,9953,2883,86.19,6186,5035,Stable,Corn,897,Best
38,False,College,9,True,True,False,False,2.09,True,Organic,Plow,47.32,2428,1972,28.98,5820,2196,Growing,Soybean,336,Poor
44,False,Primary School,5,False,True,False,False,9.71,True,Hydroponic,Hoe,10.7,2915,1366,52.37,4882,2766,Declining,Corn,363,Poor
39,True,Secondary School,10,False,False,False,False,6.48,False,Hydroponic,Combine,28.76,2338,1401,39.01,5637,2109,Stable,Rice,575,Poor
57,True,Primary School,9,True,False,True,True,3.54,False,Conventional,Combine,26.43,4514,1403,58.22,4614,1324,Declining,Soybean,474,Poor
48,False,High School,8,True,False,True,True,2.42,True,Hydroponic,Hoe,11.97,1568,636,39.2,5410,2319,Growing,Wheat,534,Poor
44,False,Primary School,5,True,False,True,False,9.73,True,Conventional,Combine,70.18,4404,1215,75.96,4187,4265,Stable,Soybean,795,Average
29,True,Secondary School,7,True,True,True,True,8.49,False,Conventional,Plow,33.13,4751,930,22.53,4560,2077,Growing,Rice,527,Poor
41,True,Primary School,3,False,False,True,True,14.77,True,Hydroponic,Hoe,43.53,5244,2557,46.15,8349,1795,Stable,Soybean,784,Average
37,False,High School,1,True,True,True,True,34.64,True,Conventional,Combine,73.04,7096,3795,77.14,10518,4401,Growing,Corn,866,Best
60,False,Primary School,9,True,True,False,False,8.32,True,Hydroponic,Combine,38.75,2315,654,55.97,2267,1105,Declining,Corn,503,Poor
52,False,Secondary School,4,False,False,True,False,1.17,False,Conventional,Plow,15.75,1672,824,35.01,5835,2955,Stable,Rice,430,Poor
63,False,Primary School,4,True,False,True,False,4.75,True,Hydroponic,Hoe,18.64,4957,1333,37.91,3848,1073,Growing,Corn,334,Poor
30,True,Bachelor,2,False,False,True,True,32.55,True,Organic,Tractor,67.42,6985,3167,97.28,6971,2917,Growing,Corn,872,Best
24,False,Primary School,8,False,True,True,True,1.99,False,Conventional,Plow,27.43,3895,1846,24.59,5517,2097,Growing,Wheat,541,Poor
51,True,Primary School,0,False,True,False,True,5.72,True,Conventional,Hoe,38.96,4338,1989,31.92,5581,1924,Stable,Wheat,598,Poor
62,True,Master,1,True,True,True,True,41.2,True,Conventional,Tractor,80.44,8809,4050,109.48,8078,3868,Declining,Wheat,818,Best
53,False,Primary School,7,True,False,False,False,1.07,True,Organic,Tractor,12.09,1062,973,31.75,5119,2086,Stable,Soybean,491,Poor
31,False,Secondary School,2,True,True,True,False,3.78,True,Conventional,Plow,11.13,2076,1259,55.87,2464,2274,Declining,Soybean,325,Poor
48,True,Primary School,0,True,False,False,True,3.0,False,Conventional,Plow,27.75,3294,748,49.6,2350,2722,Stable,Corn,573,Poor
50,True,Primary School,3,False,True,False,False,1.46,False,Conventional,Hoe,24.0,1196,1223,21.84,4178,2321,Declining,Rice,316,Poor
41,True,High School,10,False,True,False,True,1.24,True,Conventional,Hoe,21.11,1651,1782,26.61,3925,2271,Stable,Wheat,557,Poor
